City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Narsaq,80,GL,1554537000,25,60.91,-46.05,41.0,23.04
Port-Gentil,40,GA,1554537600,79,-0.72,8.78,84.2,5.82
Kamenka,56,RU,1554540595,90,53.19,44.05,39.0,6.87
Pilikwe,44,BW,1554540835,64,-22.8,27.19,74.68,17.38
Revelstoke,90,CA,1554539040,87,50.99,-118.19,42.8,6.93
Ugoofaaru,32,MV,1554540836,100,5.67,73.0,85.66,6.76
Dongsheng,0,CN,1554540836,59,29.72,112.52,80.71,13.69
Sioux Lookout,90,CA,1554537600,92,50.1,-91.92,32.0,2.24
Guangyuan,0,CN,1554540502,30,32.43,105.86,82.0,3.0
Ossora,0,RU,1554540837,82,59.24,163.07,18.7,3.06
Gravdal,0,NO,1554540726,61,59.79,5.78,57.99,5.82
Nongstoin,44,IN,1554540838,74,25.52,91.27,78.73,2.73
Pokhara,100,NP,1554540838,88,28.21,83.99,60.1,2.39
Quatre Cocos,75,MU,1554540541,78,-20.21,57.76,82.4,11.41
Samfya,20,ZM,1554540839,74,-11.37,29.56,79.18,8.77
Bilibino,48,RU,1554540839,82,68.06,166.44,24.73,3.4
Marzuq,80,YE,1554540839,23,14.4,46.47,85.57,6.2
Bandarbeyla,0,SO,1554540840,100,9.49,50.81,80.53,3.18
Te Anau,0,NZ,1554540840,83,-45.41,167.72,31.3,2.28
Paracuru,20,BR,1554541200,88,-3.41,-39.03,77.0,2.24
Derzhavinsk,24,KZ,1554540841,95,51.1,66.31,44.26,5.86
Vermilion,90,CA,1554537600,80,53.35,-110.85,33.8,18.34
Leningradskiy,48,RU,1554540841,85,69.38,178.42,4.93,29.8
Codrington,0,AU,1554540723,73,-28.95,153.24,71.6,10.29
Mangaratiba,20,BR,1554539994,83,-22.96,-44.04,81.0,5.82
Ketchikan,90,US,1554537360,75,55.34,-131.65,48.2,20.8
Simi,90,US,1554540817,93,38.64,-122.87,55.99,4.7
Tayoltita,0,MX,1554540843,59,24.11,-105.93,58.75,1.61
Salinopolis,92,BR,1554540843,100,-0.61,-47.36,78.01,9.78
Yerbogachen,56,RU,1554540843,50,61.28,108.01,32.56,4.52
Arinos,88,BR,1554540844,97,-15.92,-46.11,67.48,1.61
Bahia Honda,0,CU,1554540844,90,22.9,-83.16,68.83,2.62
Cabedelo,20,BR,1554537600,100,-6.97,-34.84,75.2,5.82
Jiuquan,44,CN,1554540844,56,39.73,98.49,52.9,8.88
Porto Murtinho,92,BR,1554540845,90,-21.7,-57.88,62.98,10.33
Peniche,20,PT,1554540719,81,39.36,-9.38,55.0,9.17
Seoul,75,KR,1554540000,70,37.57,126.98,57.2,1.12
Mandla,0,IN,1554540846,18,22.6,80.37,100.42,12.46
Manbij,40,SY,1554538800,48,36.53,37.96,62.6,2.24
Tiarei,20,PF,1554540756,78,-17.53,-149.33,82.4,12.91
Jacmel,64,HT,1554537540,78,18.24,-72.54,77.0,11.41
Necochea,0,AR,1554540625,86,-38.55,-58.74,50.11,12.8
Tekeli,92,KZ,1554540847,93,44.86,78.76,46.24,5.64
Areosa,40,PT,1554540806,81,41.72,-8.86,51.01,13.87
Stryn,20,NO,1554540458,70,61.9,6.72,48.99,6.93
Praia da Vitoria,40,PT,1554540419,77,38.73,-27.07,60.8,22.86
Nizwa,8,OM,1554540563,12,22.93,57.53,97.63,5.86
Vao,8,EE,1554540848,70,59.1,26.19,49.12,4.18
Los Llanos de Aridane,20,ES,1554540661,52,28.66,-17.92,66.2,16.11
Kayerkan,56,RU,1554540849,95,69.35,87.76,23.56,11.23
Bol,0,TD,1554540849,14,13.47,14.72,105.1,6.98
Banjarmasin,40,ID,1554537600,74,-3.32,114.59,86.0,5.82
Verkhoshizhemye,0,RU,1554540850,99,58.01,49.1,42.55,7.43
Paredon,88,BO,1554540850,89,-18.93,-65.16,43.18,2.95
Saint Pete Beach,90,US,1554540566,100,27.73,-82.74,71.6,4.29
Usinsk,76,RU,1554540851,94,66.0,57.56,28.78,15.48
Waingapu,24,ID,1554540851,70,-9.65,120.26,83.05,6.31
Zlobin,75,HR,1554540835,81,45.29,14.65,64.0,2.24
Yelizovo,40,RU,1554537600,55,53.19,158.38,39.2,17.9
Fare,64,PF,1554540852,98,-16.7,-151.02,84.58,14.03
Uba,56,NG,1554540853,16,10.45,13.22,100.6,4.74
Parauna,76,ID,1554540853,91,-3.82,122.09,77.47,1.28
Novopokrovka,76,RU,1554540854,45,45.85,134.51,40.66,6.42
Tessalit,24,ML,1554540854,23,20.2,1.01,78.55,10.67
Mezen,0,RU,1554540854,71,65.85,44.24,35.8,5.64
Aswan,0,EG,1554537600,19,24.09,32.9,78.8,5.82
Tanete,12,ID,1554540855,59,-3.94,119.78,87.82,13.8
North Bend,75,US,1554540616,81,43.41,-124.22,48.99,6.93
Laguna,64,MX,1554540855,66,27.52,-110.01,57.67,2.17
Chuy,64,UY,1554540856,83,-33.69,-53.46,63.43,7.43
Mende,92,FR,1554540856,98,44.52,3.5,37.78,7.99
Pontianak,75,ID,1554537600,59,-0.02,109.34,91.4,10.29
Novobelokatay,0,RU,1554540857,91,55.7,58.96,41.83,4.41
Alghero,0,IT,1554540846,76,40.56,8.32,55.99,5.82
Qurbus,0,TN,1554537600,54,36.82,10.57,60.8,4.7
Nam Som,40,TH,1554540297,49,17.77,102.19,96.8,2.24
Anloga,20,GH,1554537600,74,5.79,0.9,86.0,14.99
Mora,68,PT,1554540818,100,38.94,-8.17,52.0,12.01
Songjianghe,80,CN,1554540858,45,42.18,127.48,37.15,12.24
Rockhampton,24,AU,1554537600,61,-23.38,150.51,77.0,9.17
Poum,40,MK,1554539400,41,41.28,20.71,57.2,9.17
Chicama,75,PE,1554537600,88,-7.84,-79.15,68.0,4.7
Rockport,90,US,1554540501,100,28.02,-97.05,72.0,9.17
Aykhal,0,RU,1554540860,63,65.95,111.51,25.18,6.31
Lobatse,0,BW,1554537600,60,-25.21,25.68,71.6,6.93
Pringsewu,56,ID,1554540860,76,-5.36,104.98,83.86,3.96
Mahebourg,75,MU,1554540841,78,-20.41,57.7,82.4,11.41
Tibati,64,CM,1554540861,94,6.47,12.63,75.58,2.39
Geraldton,90,CA,1554537600,100,49.72,-86.95,30.2,4.7
Cabo San Lucas,0,MX,1554540652,42,22.89,-109.91,70.0,5.99
San Quintin,48,PH,1554540862,76,17.54,120.52,80.8,1.72
Olopa,36,GT,1554540862,97,14.69,-89.35,62.62,2.17
Belaya Gora,24,RU,1554540862,85,68.54,146.19,21.76,8.77
Mackenzie,90,CA,1554538500,74,55.34,-123.09,35.6,2.39
Fort Beaufort,0,ZA,1554540863,76,-32.78,26.63,63.7,6.31
Strathmore,40,CA,1554540845,74,51.04,-113.4,41.0,2.24
Atherton,12,GB,1554540852,65,53.52,-2.49,50.0,8.05
Marevo,90,BA,1554539400,100,43.57,18.7,44.6,1.12
Artigas,12,BR,1554540864,93,-30.4,-56.46,56.32,10.56
Omboue,12,GA,1554540865,100,-1.57,9.26,81.34,4.41
Myitkyina,8,MM,1554540865,49,25.38,97.4,84.49,1.95
Acuitzio,12,MX,1554540865,56,20.34,-101.98,54.7,2.95
Lillooet,40,CA,1554537600,70,50.69,-121.94,44.6,21.92
Ahipara,20,NZ,1554540866,100,-35.17,173.16,55.96,4.97
Cajnice,20,BA,1554539400,58,43.56,19.07,53.6,2.24
Prince Rupert,75,CA,1554537900,81,54.32,-130.32,44.6,6.93
Khovu-Aksy,88,RU,1554540867,63,51.13,93.72,41.2,3.29
Isangel,0,VU,1554540867,100,-19.55,169.27,78.91,16.6
Garowe,0,SO,1554540868,47,8.41,48.48,86.65,5.86
Kieta,76,PG,1554540868,100,-6.22,155.63,79.36,3.18
Camacha,40,PT,1554539400,63,33.08,-16.33,60.8,16.11
Solano,24,PH,1554540869,74,16.52,121.18,78.01,2.06
Lata,36,IN,1554540869,100,30.78,78.62,54.7,1.61
Japura,56,ID,1554540869,68,-0.42,102.29,87.82,1.95
Westport,75,IE,1554540723,87,53.8,-9.52,46.0,13.87
Xinqing,80,CN,1554540870,36,48.28,129.53,38.5,5.08
Borba,40,PT,1554537600,81,38.81,-7.46,50.0,12.75
Worland,1,US,1554540639,74,44.02,-107.96,44.6,4.7
Pula,75,EC,1554537600,74,-1.95,-79.93,78.8,5.82
Aliaga,75,PH,1554537600,49,15.5,120.85,93.2,6.93
Okhotsk,76,RU,1554540872,78,59.36,143.24,34.63,1.5
Nhulunbuy,90,AU,1554537600,88,-12.18,136.78,78.8,6.93
Cuauhtemoc,20,MX,1554540619,60,28.72,-111.63,62.01,8.32
Vydrino,0,RU,1554540217,37,51.46,104.64,30.0,8.99
Igurusi,8,TZ,1554540873,56,-8.83,33.85,78.46,4.63
Sur,0,OM,1554540874,69,22.57,59.53,86.38,2.39
Nampula,75,MZ,1554537600,69,-15.12,39.26,82.4,6.93
Constitucion,0,MX,1554540874,63,23.99,-104.67,41.2,4.18
Sol-Iletsk,56,RU,1554540874,83,51.16,55.0,53.08,7.65
Inhambane,40,MZ,1554537600,62,-23.87,35.38,84.2,4.7
Hailey,1,US,1554540411,93,43.52,-114.32,35.6,3.36
Susehri,12,TR,1554540875,86,40.16,38.09,48.85,2.39
Pontes e Lacerda,88,BR,1554540876,92,-15.23,-59.33,62.53,4.07
Boguchany,0,RU,1554540876,33,58.38,97.46,43.0,3.51
Tazovskiy,12,RU,1554540762,94,67.47,78.7,20.32,24.87
Henties Bay,0,NA,1554537735,92,-22.12,14.28,60.01,8.01
San Lorenzo de El Escorial,90,ES,1554540859,86,40.59,-4.15,46.0,12.75
Kirensk,24,RU,1554540877,39,57.78,108.12,34.54,3.18
Saint Anthony,20,US,1554540645,75,43.97,-111.68,42.8,9.17
Antofagasta,90,CL,1554537600,88,-23.65,-70.4,62.6,9.17
Nemuro,40,JP,1554537600,69,43.32,145.57,37.4,11.41
Portland,1,US,1554540771,87,45.52,-122.67,46.0,5.82
Broken Hill,0,AU,1554537600,38,-31.97,141.45,77.0,10.29
La Rioja,0,AR,1554540880,81,-29.41,-66.86,55.78,1.83
Plettenberg Bay,0,ZA,1554540880,97,-34.05,23.37,64.42,12.8
Farmington,1,US,1554540606,44,36.73,-108.21,43.0,7.99
Rundu,68,NA,1554540881,74,-17.91,19.77,72.52,2.51
Acari,44,BR,1554540881,95,-6.44,-36.64,69.64,7.2
Payson,90,US,1554540637,70,40.04,-111.73,48.99,3.36
Lingao,64,CN,1554540882,93,19.91,109.69,78.82,0.83
Berlevag,12,NO,1554540882,99,70.86,29.09,33.28,18.61
Bosaso,0,SO,1554537600,46,11.28,49.18,89.6,23.04
